rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
302	NCT06084481	0.40225327	0.33630026	0.73855353	283	True
303	NCT02473848	0.40008092	0.33833808	0.738419	281	True
304	NCT06105801	0.3995052	0.33795014	0.73745534	282	True
305	NCT01214655	0.40322286	0.33341987	0.73664273	285	True
306	NCT02278510	0.40483087	0.32509873	0.7299296	288	True
307	NCT03864562	0.7285537	0	0.7285537		True
308	NCT01278888	0.3955771	0.3281074	0.7236845	287	True
309	NCT01827618	0.40008664	0.32136842	0.72145506	289	True
310	NCT04306900	0.4029689	0.31695042	0.71991932	292	True
311	NCT01308294	0.3985945	0.31888122	0.71747572	290	True
312	NCT02837367	0.71710086	0	0.71710086		True
313	NCT05675813	0.41279814	0.30207397	0.71487211	295	True
314	NCT06142344	0.40108967	0.30360643	0.7046961	294	True
315	NCT03427346	0.4039762	0.29884922	0.70282542	296	True
316	NCT03184090	0.41348034	0.28772943	0.70120977	302	True
317	NCT04165993	0.41348034	0.28497574	0.69845608	303	True
318	NCT02339948	0.401565	0.29341336	0.69497836	298	True
319	NCT02451124	0.41086656	0.28361506	0.69448162	304	True
320	NCT05768347	0.39956617	0.28980174	0.68936791	301	True
321	NCT01331525	0.3987611	0.28987408	0.68863518	300	True
322	NCT00108420	0.6878668	0	0.6878668		True
323	NCT05348187	0.40313208	0.28072125	0.68385333	305	True
324	NCT02808416	0.40097606	0.27803007	0.67900613	306	True
325	NCT03028701	0.67406136	0	0.67406136		True
326	NCT06407037	0.41058117	0.26179598	0.67237715	312	True
327	NCT03853902	0.3947026	0.27660322	0.67130582	307	True
328	NCT02535650	0.6641684	0	0.6641684		True
329	NCT01010672	0.39712006	0.26689784	0.6640179	309	True
330	NCT03292289	0.39732277	0.26464539	0.66196816	311	True
331	NCT02749513	0.40766358	0.25293084	0.66059442	313	True
332	NCT01986348	0.39457345	0.26601452	0.66058797	310	True
333	NCT01927757	0.6597111	0	0.6597111		True
334	NCT03081897	0.4373194	0.21900297	0.65632237	329	True
335	NCT04305028	0.6553035	0	0.6553035		True
336	NCT05597683	0.4109599	0.24419033	0.65515023	317	True
337	NCT01747772	0.65388876	0	0.65388876		True
338	NCT03480958	0.4089654	0.23909956	0.64806496	319	True
339	NCT04397016	0.3947026	0.25174957	0.64645217	314	True
340	NCT05283577	0.41628328	0.22956623	0.64584951	323	True
341	NCT05555199	0.4063579	0.23760887	0.64396677	320	True
342	NCT06114940	0.39614898	0.24666327	0.64281225	316	True
343	NCT01792817	0.64139664	0	0.64139664		True
344	NCT01700673	0.42703962	0.2133452	0.64038482	331	True
345	NCT06363773	0.41095752	0.22844749	0.63940501	325	True
346	NCT05622357	0.4047404	0.23451277	0.63925317	321	True
347	NCT06430372	0.39513528	0.24242901	0.63756429	318	True
348	NCT03135925	0.530984	0.10526143	0.63624543	374	True
349	NCT02165995	0.40378436	0.23047511	0.63425947	322	True
350	NCT03718650	0.38638008	0.24721783	0.63359791	315	True
351	NCT02487992	0.40547132	0.22566395	0.63113527	326	True
352	NCT03272334	0.62813973	0	0.62813973		True
353	NCT01849744	0.40508765	0.22235131	0.62743896	328	True
354	NCT02125513	0.43571037	0.19034926	0.62605963	343	True
355	NCT02395601	0.6238783	0	0.6238783		True
356	NCT02312102	0.6222067	0	0.6222067		True
357	NCT03822234	0.3973624	0.22461258	0.62197498	327	True
358	NCT04013841	0.41069907	0.2109642	0.62166327	332	True
359	NCT02117557	0.41069907	0.2102028	0.62090187	333	True
360	NCT02009787	0.6196764	0	0.6196764		True
361	NCT06133426	0.41851795	0.1987478	0.61726575	339	True
362	NCT01444547	0.40766358	0.20944014	0.61710372	334	True
363	NCT03877601	0.41086656	0.20474201	0.61560857	335	True
364	NCT02563561	0.3973624	0.21762012	0.61498252	330	True
365	NCT02476409	0.60949755	0	0.60949755		True
366	NCT04602117	0.60833126	0	0.60833126		True
367	NCT03181815	0.4098658	0.19653823	0.60640403	340	True
368	NCT01168050	0.6056755	0	0.6056755		True
369	NCT04964284	0.40945512	0.1912112	0.60066632	342	True
370	NCT04672928	0.39677492	0.20153861	0.59831353	338	True
371	NCT06237413	0.3949411	0.20265818	0.59759928	336	True
372	NCT02665390	0.3995052	0.19548798	0.59499318	341	True
373	NCT05443165	0.40110984	0.18994065	0.59105049	344	True
374	NCT05131776	0.40687436	0.18102267	0.58789703	347	True
375	NCT02071511	0.58656526	0	0.58656526		True
376	NCT04222335	0.4019074	0.18377537	0.58568277	345	True
377	NCT05440760	0.40878326	0.17670402	0.58548728	349	True
378	NCT03034915	0.5844011	0	0.5844011		True
379	NCT04174950	0.4061956	0.17663687	0.58283247	350	True
380	NCT01874873	0.40136197	0.18046941	0.58183138	348	True
381	NCT01315483	0.48025593	0.1012484	0.58150433	376	True
382	NCT01674140	0.57918835	0	0.57918835		True
383	NCT03043872	0.4038993	0.17482733	0.57872663	352	True
384	NCT01519076	0.5727791	0	0.5727791		True
385	NCT03427684	0.41122904	0.16032007	0.57154911	355	True
386	NCT03334617	0.40255886	0.16856745	0.57112631	354	True
387	NCT02807883	0.4117828	0.1581725	0.5699553	356	True
388	NCT04588064	0.39944467	0.16974463	0.5691893	353	True
389	NCT00336648	0.56917864	0	0.56917864		True
390	NCT04346225	0.38698673	0.18206803	0.56905476	346	True
391	NCT01444534	0.56854075	0	0.56854075		True
392	NCT05299411	0.41391814	0.15396928	0.56788742	359	True
393	NCT04147884	0.56341714	0	0.56341714		True
394	NCT02623712	0.41300774	0.1490638	0.56207154	362	True
395	NCT03139487	0.5609067	0	0.5609067		True
396	NCT00979160	0.5600497	0	0.5600497		True
397	NCT03570138	0.558351	0	0.558351		True
398	NCT03027739	0.4117828	0.1454123	0.5571951	364	True
399	NCT02647021	0.40680516	0.15031079	0.55711595	360	True
400	NCT01080352	0.39868426	0.15561458	0.55429884	357	True
401	NCT05362539	0.3973624	0.15548125	0.55284365	358	True
402	NCT05968144	0.44152477	0.11125299	0.55277776	373	True
403	NCT01539291	0.41223806	0.13992472	0.55216278	366	True
404	NCT01033019	0.39661753	0.14842617	0.5450437	363	True
405	NCT00737971	0.54340124	0	0.54340124		True
406	NCT03135769	0.54222846	0	0.54222846		True
407	NCT01646684	0.39163458	0.14999073	0.54162531	361	True
408	NCT03596593	0.40310583	0.13631779	0.53942362	368	True
409	NCT05043090	0.40112406	0.13745424	0.5385783	367	True
410	NCT02561663	0.5379926	0	0.5379926		True
411	NCT02577172	0.40361208	0.13406149	0.53767357	369	True
412	NCT01151046	0.39186284	0.14408431	0.53594715	365	True
413	NCT04847544	0.5338338	0	0.5338338		True
414	NCT00004364	0.5335022	0	0.5335022		True
415	NCT01213277	0.53313386	0	0.53313386		True
416	NCT01195766	0.4087956	0.12310925	0.53190485	370	True
417	NCT00752765	0.5315461	0	0.5315461		True
418	NCT04659616	0.5211326	0	0.5211326		True
419	NCT01618851	0.3947026	0.12248933	0.51719193	371	True
420	NCT02514915	0.41890442	0.097866115	0.51677054	380	True
421	NCT03925909	0.51525366	0	0.51525366		True
422	NCT01909791	0.5127296	0	0.5127296		True
423	NCT05515978	0.43948883	0.068544993	0.50803382	391	True
424	NCT01174017	0.3947026	0.11197916	0.50668176	372	True
425	NCT02559479	0.506447	0	0.506447		True
426	NCT01270841	0.5056143	0	0.5056143		True
427	NCT03034070	0.4027394	0.10021808	0.50295748	377	True
428	NCT03770299	0.397095	0.1045811	0.5016761	375	True
429	NCT01714102	0.50139344	0	0.50139344		True
430	NCT04173338	0.4026202	0.096936929	0.49955713	381	True
431	NCT04776889	0.49943802	0	0.49943802		True
432	NCT05513703	0.39727098	0.099441655	0.49671263	379	True
433	NCT05296109	0.40193045	0.088248854	0.4901793	383	True
434	NCT06376344	0.43751305	0.051956575	0.48946963	397	True
435	NCT02023359	0.40285733	0.08626989	0.48912722	385	True
436	NCT02169908	0.38895708	0.099847013	0.48880409	378	True
437	NCT04109937	0.40944824	0.078944754	0.48839299	386	True
438	NCT03768492	0.41369176	0.072890437	0.4865822	388	True
439	NCT00402727	0.48608923	0	0.48608923		True
440	NCT04189614	0.39845806	0.086483072	0.48494113	384	True
441	NCT02570165	0.48445448	0	0.48445448		True
442	NCT04852081	0.38914052	0.094698551	0.48383907	382	True
443	NCT00426413	0.47933698	0	0.47933698		True
444	NCT05629845	0.40907085	0.068776906	0.47784776	390	True
445	NCT04861220	0.4044391	0.073181443	0.47762054	387	True
446	NCT03900299	0.40285733	0.071934323	0.47479165	389	True
447	NCT01721343	0.417203	0.05655442	0.47375742	396	True
448	NCT02592447	0.42663953	0.04541901	0.47205854	398	True
449	NCT03872206	0.41354993	0.056833996	0.47038393	395	True
450	NCT03361709	0.46971396	0	0.46971396		True
451	NCT05653596	0.40001976	0.064103032	0.46412279	392	True
452	NCT05793710	0.40076494	0.061094371	0.46185931	394	True
453	NCT02997787	0.45828623	0	0.45828623		True
454	NCT02811900	0.45604405	0	0.45604405		True
455	NCT00652379	0.4557961	0	0.4557961		True
