nct_id	score
NCT00001659	0.4078037
NCT00001685	0.40777186
NCT00003876	0.4077506
NCT00004204	0.4077506
NCT00032097	0.4077506
NCT00003465	0.4077506
NCT00004113	0.4077506
NCT00006080	0.4077506
NCT00006460	0.4077506
NCT00003372	0.4077506
NCT00006474	0.4077506
NCT00003842	0.4077506
NCT00006916	0.4077506
NCT00004028	0.4077506
NCT00005826	0.4077506
NCT00006386	0.4077506
NCT00002814	0.4077506
NCT00006388	0.4077506
NCT00004937	0.4077506
NCT00002639	0.4077506
NCT00003463	0.4077506
NCT00004080	0.4077506
NCT00003775	0.4077506
NCT00005081	0.4077506
NCT00002806	0.4077506
NCT00002749	0.4077506
NCT00039364	0.4077506
NCT00003409	0.4077506
NCT00005637	0.4077506
NCT00006656	0.4077506
NCT00002569	0.4077506
NCT00003375	0.4077506
NCT00004259	0.4077506
NCT00003410	0.4077506
NCT00033280	0.4077506
NCT00003466	0.4077506
NCT00006355	0.4077506
NCT00005951	0.4077506
NCT00004041	0.4077506
NCT00002620	0.4077506
NCT00003564	0.4077506
NCT00003621	0.4077506
NCT00002897	0.40766358
NCT00003118	0.40766358
NCT00021320	0.40766358
NCT00003381	0.40766358
NCT00001908	0.40760583
NCT00026832	0.40759116
NCT00001713	0.40758327
NCT00009620	0.4075467
NCT00034424	0.40747833
NCT00001216	0.40747732
NCT00001568	0.40745497
NCT00004563	0.40745276
NCT00003057	0.40744242
NCT00011258	0.40733355
NCT00005666	0.40733218
NCT00001277	0.40731782
NCT00004842	0.40727824
NCT00009646	0.40727222
NCT00001253	0.40721655
NCT00044629	0.40719754
NCT00013390	0.40709984
NCT00006342	0.4070721
NCT00004341	0.40703082
NCT00026637	0.40694028
NCT00001413	0.40693635
NCT00004771	0.40684795
NCT00016627	0.40683532
NCT00005772	0.40675682
NCT00003875	0.40670013
NCT00044798	0.4066683
NCT00001605	0.40661576
NCT00006345	0.40652046
NCT00001230	0.40648752
